Palabra,Pista
Planeación estratégica,Marca el rumbo de la organización con objetivos y metas a largo plazo.
Presupuesto,Herramienta financiera operativa que estima ingresos y gastos anuales.
Análisis macroeconómico,Estudio de variables como PIB  inflación y tasas de interés.
Flujo de caja,Determina la liquidez mediante entradas y salidas de fondos.
Indicadores financieros,Miden rentabilidad  liquidez y eficiencia operativa.
Morosidad,Relación entre cartera improductiva y cartera bruta.
Balanced Scorecard,Herramienta para traducir la estrategia en indicadores y acciones.
Análisis sectorial,Revisión comparativa del sector financiero  incluyendo cooperativas.
